time_seconds,goal,luminusity_7_02.10.047_02.29.381,luminasity_8_02.29.381_02.47.541,luminasity_9_02.47.541_03.07.094,luminasity_10_03.07.094_03.27.266,luminasity_11_03.27.266_03.50.423,luminasity_14_04.39.213_04.59,papillon_1_00.00.000_01.29.318,papillon_2_01.29.318_03.06.429,papillon_4_04.34.344_06.43.645,papillon_5_06.43.645_08.13.352,prism_1_00.00.000_01.28.904,prism_2_01.28.904_02.38.937,prism_3_04.46.624_06.25.707,luminusity_7_02.10.047_02.29.381#2,luminasity_8_02.29.381_02.47.541#2,luminasity_9_02.47.541_03.07.094#2,luminasity_10_03.07.094_03.27.266#2,luminasity_11_03.27.266_03.50.423#2,luminasity_14_04.39.213_04.59#2,papillon_1_00.00.000_01.29.318#2,papillon_2_01.29.318_03.06.429#2,papillon_4_04.34.344_06.43.645#2,papillon_5_06.43.645_08.13.352#2,prism_1_00.00.000_01.28.904#2,prism_2_01.28.904_02.38.937#2,prism_3_04.46.624_06.25.707#2
4.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0805,0.0000,0.0000,0.0000,0.4027,41.1901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,14.6666,11.7241
4.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.3392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,15.3616,12.4449
4.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.3392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,15.3616,12.4449
4.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.3392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,15.3616,12.4449
4.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.3392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,15.3616,12.4449
4.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.3392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,15.3616,12.4449
5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.3392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9435,0.0000,0.0000,0.0000,15.3616,12.4449
5.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7654,0.0000,0.0000,46.6210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8888,0.0000,2.0851,0.0000,16.3819,15.8950
5.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.6758,0.0000,0.0000,61.3256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6440,0.0000,11.4278,0.0000,20.9535,31.3535
5.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.8049,0.0000,0.0000,82.0136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2995,0.0000,24.5722,0.0000,27.3854,53.1022
5.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.7152,0.0000,0.0000,96.7182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0546,0.0000,33.9149,0.0000,31.9570,68.5607
5.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4807,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,0.0000,32.9773,72.0108
5.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4807,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,0.0000,32.9773,72.0108
5.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4807,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,0.0000,32.9773,72.0108
